Vendor id,expedia,Expedia Status
FR-75003-48,110135957,Stop Sold
FR-75003-51,110136296,Stop Sold
FR-75003-52,110135934,Stop Sold
FR-75003-53,110137428,Stop Sold
FR-75003-54,110137984,Stop Sold
FR-75003-55,110138302,Stop Sold
FR-75003-57,110135926,Stop Sold
FR-75003-58,110137342,Stop Sold
FR-75003-59,110137244,Stop Sold
FR-75003-60,110137529,Stop Sold
FR-75003-61,110137414,Stop Sold
FR-75003-62,110138895,Stop Sold
FR-75003-63,110137564,Stop Sold
FR-75003-64,110136123,Stop Sold
FR-75003-65,110135944,Stop Sold
FR-75003-66,110137528,Stop Sold
FR-75003-67,110136452,Stop Sold
FR-75003-68,110136049,Stop Sold
FR-75003-69,110136029,Stop Sold
FR-75003-70,110136780,Stop Sold
FR-75003-72,110137450,Stop Sold
FR-75003-73,110136136,Stop Sold
FR-75003-74,110138055,Stop Sold
FR-75003-75,110137213,Stop Sold
FR-75003-77,110136757,Stop Sold
FR-75003-78,110135973,Stop Sold
FR-75003-79,110137880,Stop Sold
FR-75003-80,110135937,Stop Sold
FR-75003-81,110135963,Stop Sold
FR-75003-82,110136817,Stop Sold
FR-75003-83,110137856,Stop Sold
FR-75003-84,110138386,Stop Sold
FR-75003-85,110138267,Stop Sold
FR-75003-86,110136124,Stop Sold
FR-75003-87,110138694,Stop Sold
FR-75003-88,110137362,Stop Sold
FR-75003-89,110135936,Stop Sold
FR-75003-90,110135953,Stop Sold
FR-75003-91,110137617,Stop Sold
FR-75003-92,110136496,Stop Sold
FR-75003-94,110138094,Stop Sold
FR-75003-95,110135970,Stop Sold
FR-75003-96,110136319,Stop Sold
FR-75003-97,110138521,Stop Sold
FR-75003-98,110139205,Stop Sold
FR-75003-99,110135962,Stop Sold
FR-75004-12,110270906,Stop Sold
FR-75004-120,109681464,Stop Sold
FR-75004-121,109680858,Stop Sold
FR-75004-122,109689220,Stop Sold
FR-75004-125,110138137,Stop Sold
FR-75004-126,110148213,Stop Sold
FR-75004-127,110136734,Stop Sold
FR-75004-128,110136736,Stop Sold
FR-75004-129,110137280,Stop Sold
FR-75004-130,110138731,Stop Sold
FR-75004-132,110138591,Stop Sold
FR-75004-134,110137507,Stop Sold
FR-75004-135,110137893,Stop Sold
FR-75004-136,110136668,Stop Sold
FR-75004-138,110136278,Stop Sold
FR-75004-139,110137080,Stop Sold
FR-75004-140,110136406,Stop Sold
FR-75004-141,110137077,Stop Sold
FR-75004-142,110137360,Stop Sold
FR-75004-143,110138800,Stop Sold
FR-75004-144,110138798,Stop Sold
FR-75004-146,110136793,Stop Sold
FR-75004-147,110137124,Stop Sold
FR-75004-148,110137875,Stop Sold
FR-75004-149,110136126,Stop Sold
FR-75004-150,110137654,Stop Sold
FR-75004-152,110136794,Stop Sold
FR-75004-153,110138510,Stop Sold
FR-75004-155,110138398,Stop Sold
FR-75004-156,110136781,Stop Sold
FR-75005-12,109687854,Stop Sold
FR-75005-13,109691213,Stop Sold
FR-75005-14,109680529,Stop Sold
FR-75005-15,109679932,Stop Sold
FR-75005-16,109680493,Stop Sold
FR-75005-17,109914116,Stop Sold
FR-75005-18,110136295,Stop Sold
FR-75005-20,110137805,Stop Sold
FR-75005-21,110137468,Stop Sold
FR-75005-23,110139506,Stop Sold
FR-75005-24,110137290,Stop Sold
FR-75005-25,110136649,Stop Sold
FR-75005-26,110139138,Stop Sold
FR-75005-27,110136777,Stop Sold
FR-75005-29,110137986,Stop Sold
FR-75005-31,110136779,Stop Sold
FR-75005-32,110138909,Stop Sold
FR-75005-33,110137941,Stop Sold
FR-75005-34,110137398,Stop Sold
FR-75005-35,110139719,Stop Sold
FR-75005-37,110137508,Stop Sold
FR-75005-38,110137584,Stop Sold
FR-75005-39,110137078,Stop Sold
FR-75005-40,110137708,Stop Sold
FR-75005-41,110138122,Stop Sold
FR-75006-08,109695743,Stop Sold
FR-75006-09,109695365,Stop Sold
FR-75006-10,109681987,Stop Sold
FR-75006-11,109685665,Stop Sold
FR-75006-12,109689223,Stop Sold
FR-75006-13,110150947,Stop Sold
FR-75006-14,110137144,Stop Sold
FR-75006-16,110137109,Stop Sold
FR-75006-17,110136816,Stop Sold
FR-75006-18,110137489,Stop Sold
FR-75006-20,110137855,Stop Sold
FR-75006-22,110139397,Stop Sold
FR-75006-23,110139448,Stop Sold
FR-75006-24,110136735,Stop Sold
FR-75006-26,110137090,Stop Sold
FR-75006-27,110137402,Stop Sold
FR-75006-28,110137246,Stop Sold
FR-75006-29,110138651,Stop Sold
FR-75006-30,110138768,Stop Sold
FR-75006-32,110138592,Stop Sold
FR-75006-33,110138865,Stop Sold
FR-75006-34,110138316,Stop Sold
FR-75006-35,110138317,Stop Sold
FR-75006-36,110137243,Stop Sold
FR-75007-18,109680921,Stop Sold
FR-75007-19,109680153,Stop Sold
FR-75007-20,109687673,Stop Sold
FR-75007-21,109910186,Stop Sold
FR-75007-22,109680760,Stop Sold
FR-75007-23,109689815,Stop Sold
FR-75007-24,109914160,Stop Sold
FR-75007-26,110137143,Stop Sold
FR-75007-27,110156281,Stop Sold
FR-75007-28,110138549,Stop Sold
FR-75007-29,110138658,Stop Sold
FR-75007-30,110140320,Stop Sold
FR-75007-31,110137413,Stop Sold
FR-75007-32,110139069,Stop Sold
FR-75007-34,110137526,Stop Sold
FR-75007-36,110137291,Stop Sold
FR-75007-37,110137145,Stop Sold
FR-75007-38,110138084,Stop Sold
FR-75007-41,110139888,Stop Sold
FR-75008-09,109695980,Stop Sold
FR-75008-10,109695747,Stop Sold
FR-75008-11,109674344,Stop Sold
FR-75008-13,109685663,Stop Sold
FR-75008-14,109914192,Stop Sold
FR-75008-16,109681197,Stop Sold
FR-75008-17,109913212,Stop Sold
FR-75008-18,109675508,Stop Sold
FR-75008-19,109685674,Stop Sold
FR-75008-20,109695892,Stop Sold
FR-75008-22,109695744,Stop Sold
FR-75008-23,109687023,Stop Sold
FR-75008-24,109686675,Stop Sold
FR-75008-25,109686729,Stop Sold
FR-75008-26,109679874,Stop Sold
FR-75008-27,109679936,Stop Sold
FR-75008-28,109680712,Stop Sold
FR-75008-29,109681675,Stop Sold
FR-75008-30,109695439,Stop Sold
FR-75008-31,109674022,Stop Sold
FR-75008-33,109674204,Stop Sold
FR-75008-34,110148729,Stop Sold
FR-75008-35,110137379,Stop Sold
FR-75008-37,110137232,Stop Sold
FR-75008-39,110137363,Stop Sold
FR-75008-40,110138664,Stop Sold
FR-75008-41,110150530,Stop Sold
FR-75008-42,110138672,Stop Sold
FR-75008-43,110138832,Stop Sold
FR-75008-44,110139287,Stop Sold
FR-75008-45,110138402,Stop Sold
FR-75008-46,110138301,Stop Sold
FR-75008-47,110139741,Stop Sold
FR-75008-48,110137983,Stop Sold
FR-75008-49,110138649,Stop Sold
FR-75008-50,110138693,Stop Sold
FR-75008-51,110139124,Stop Sold
FR-75008-52,110137622,Stop Sold
FR-75008-53,110138831,Stop Sold
FR-75008-54,110137490,Stop Sold
FR-75008-55,110137867,Stop Sold
FR-75008-56,110137451,Stop Sold
FR-75008-57,110137430,Stop Sold
FR-75008-59,110138357,Stop Sold
FR-75008-60,110138788,Stop Sold
FR-75008-61,110138255,Stop Sold
FR-75008-62,110139071,Stop Sold
FR-75008-63,110139764,Stop Sold
FR-75008-65,110138256,Stop Sold
FR-75008-66,110138424,Stop Sold
FR-75008-67,110137985,Stop Sold
FR-75008-68,110139190,Stop Sold
FR-75008-69,110139355,Stop Sold
FR-75008-70,110138665,Stop Sold
FR-75008-71,110137524,Stop Sold
FR-75008-73,110137527,Stop Sold
FR-75008-74,110139383,Stop Sold
FR-75008-75,110137563,Stop Sold
FR-75008-76,110137876,Stop Sold
FR-75008-77,110137877,Stop Sold
FR-75008-78,110138136,Stop Sold
FR-75008-79,110138004,Stop Sold
FR-75008-80,110137892,Stop Sold
FR-75008-82,110139289,Stop Sold
FR-75009-14,109695579,Stop Sold
FR-75009-15,109695941,Stop Sold
FR-75009-16,109914158,Stop Sold
FR-75009-17,109681874,Stop Sold
FR-75009-18,109681401,Stop Sold
FR-75009-20,109695940,Stop Sold
FR-75009-21,109674017,Stop Sold
FR-75009-22,109680751,Stop Sold
FR-75009-28,109680341,Stop Sold
FR-75009-37,109680346,Stop Sold
FR-75009-38,109688182,Stop Sold
FR-75009-41,109680422,Stop Sold
FR-75009-44,110139770,Stop Sold
FR-75009-45,110159680,Stop Sold
FR-75009-46,110160611,Stop Sold
FR-75009-47,110156523,Stop Sold
FR-75009-48,110158532,Stop Sold
FR-75009-49,110148198,Stop Sold
FR-75009-50,110138179,Stop Sold
FR-75009-51,110160349,Stop Sold
FR-75009-52,110139315,Stop Sold
FR-75009-54,110137942,Stop Sold
FR-75009-55,110139887,Stop Sold
FR-75009-56,110138839,Stop Sold
FR-75009-57,110139364,Stop Sold
FR-75009-58,110156640,Stop Sold
FR-75009-59,110138342,Stop Sold
FR-75009-60,110138478,Stop Sold
FR-75009-61,110138644,Stop Sold
FR-75009-62,110138268,Stop Sold
FR-75009-63,110139110,Stop Sold
FR-75009-64,110139694,Stop Sold
FR-75009-65,110138917,Stop Sold
FR-75009-66,110140135,Stop Sold
FR-75009-68,110140343,Stop Sold
FR-75009-69,110138680,Stop Sold
FR-75009-70,110138997,Stop Sold
FR-75009-71,110138856,Stop Sold
FR-75009-73,110138149,Stop Sold
FR-75009-74,110138289,Stop Sold
FR-75009-75,110140100,Stop Sold
FR-75009-76,110139718,Stop Sold
FR-75009-77,110151853,Stop Sold
FR-75009-78,110148994,Stop Sold
FR-75009-79,110148690,Stop Sold
FR-75009-80,110152880,Stop Sold
FR-75009-81,110138221,Stop Sold
FR-75009-82,110138848,Stop Sold
FR-75009-84,110138512,Stop Sold
FR-75010-09,109695985,Stop Sold
FR-75010-12,109695387,Stop Sold
FR-75010-13,109911506,Stop Sold
FR-75010-14,109685146,Stop Sold
FR-75010-15,109680749,Stop Sold
FR-75010-17,109674205,Stop Sold
FR-75010-19,109689112,Stop Sold
FR-75010-20,109679632,Stop Sold
FR-75010-21,109913159,Stop Sold
FR-75010-23,109679710,Stop Sold
FR-75010-25,110159239,Stop Sold
FR-75010-26,110147184,Stop Sold
FR-75010-28,110147122,Stop Sold
FR-75010-29,110138459,Stop Sold
FR-75010-30,110147712,Stop Sold
FR-75010-31,110138245,Stop Sold
FR-75010-32,110138397,Stop Sold
FR-75010-33,110138576,Stop Sold
FR-75010-34,110138511,Stop Sold
FR-75010-35,110139455,Stop Sold
FR-75010-36,110138923,Stop Sold
