uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
106940180|106940180|106940180_000001|Bautismos S/N 22 ago–17 sep 1980 - DGS(106940180)|Bautismos S/N 22 ago–17 sep 1980 - DGS(106940180)|ES|Español|1980/1980|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940181|106940181|106940181_000001|Bautismos S/N 18 abr–12 sep 1971 - DGS(106940181)|Bautismos S/N 18 abr–12 sep 1971 - DGS(106940181)|ES|Español|1971/1971|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940182|106940182|106940182_000001|Bautismos S/N 26 jul–25 sep 1967 - DGS(106940182)|Bautismos S/N 26 jul–25 sep 1967 - DGS(106940182)|ES|Español|1967/1967|Inmaculada Concepción, Velille, Velille, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940183|106940183|106940183_000001|Bautismos 29 26 may–26 jul 1967 - DGS(106940183)|Bautismos 29 26 may–26 jul 1967 - DGS(106940183)|ES|Español|1967/1967|Inmaculada Concepción, Velille, Velille, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales|29|Borrador de registros sacramentales
106940184|106940184|106940184_000001|Bautismos S/N 18 abr–25 jul 1965 - DGS(106940184)|Bautismos S/N 18 abr–25 jul 1965 - DGS(106940184)|ES|Español|1965/1965|Santiago Apóstol, Yanaoca, Yanaoca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940185|106940185|106940185_000001|Bautismos S/N 7 feb–24 mar 1970 - DGS(106940185)|Bautismos S/N 7 feb–24 mar 1970 - DGS(106940185)|ES|Español|1970/1970|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940186|106940186|106940186_000001|Bautismos S/N 15 oct 1972 - DGS(106940186)|Bautismos S/N 15 oct 1972 - DGS(106940186)|ES|Español|1972/1972|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940187|106940187|106940187_000001|Bautismos S/N 30 mar–21 may 1972 - DGS(106940187)|Bautismos S/N 30 mar–21 may 1972 - DGS(106940187)|ES|Español|1972/1972|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940188|106940188|106940188_000001|Bautismos 32 11 dic 1967–12 mar 1968 - DGS(106940188)|Bautismos 32 11 dic 1967–12 mar 1968 - DGS(106940188)|ES|Español|1968/1968|Inmaculada Concepción, Velille, Velille, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales|32|Borrador de registros sacramentales
106940189|106940189|106940189_000001|Bautismos S/N 26 dic 1965–21 ene 1966 - DGS(106940189)|Bautismos S/N 26 dic 1965–21 ene 1966 - DGS(106940189)|ES|Español|1966/1966|Santiago Apóstol, Yanaoca, Yanaoca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
