Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
102843292,Cherry Suites   3BR Apt w  W D  Pool Table,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103730855,Niko s art Villa in Chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102843502,Sosuite   1BR Penthouse w W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843509,Sosuite   2BR Apt w W D  Gym  On-Site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
103047511,Host   Stay   Seabreeze,N/A,TRUE,TRUE,TRUE,TRUE,FALSE
102843852,Sosuite   Corner 2BR Loft w W D  Shared Roofdeck,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843414,Sosuite   2BR Apt w W D  Gym  On-SIte Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
102714588,Marske Stables 2  Sea Biscuit,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
102843525,Sosuite   Studio Penthouse w Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843721,Sosuite   Studio Acc  w Shared W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843293,Sosuite   2BR Penthouse w W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843528,Sosuite   1BR Loft w Shared W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102767029,EAR - house  Karia Lefkada,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102560832,Palm Springs Paradise,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101943348,Vibrant 2-BR Luxe Flat Adjacent Eastern Market     Walk to METRO  Barracks Row  Capitol Hill,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101936606,Classy Mission Beach Condo - 2Br  Sleeps 7 ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101936521,Palisade Palms Oceanfront Condo   5-Star Amenities,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104377360,New York Style Penthouse in the Heart of the City,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104377362,The California - Dreamy San Diego Oasis w  Hot Tub,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104377172,TWO BEDROOM APARTMENT,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104488479,Armonia Luxury Villa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104377322,Ocean Front Penthouse  Pool  Sleeps 8 people,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376806,Vineyard House - Waterview Suite in Picton,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104377625,The Hidden Courtyard,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
104267389,Th  a Palace   5 Bedroom Villa,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
104267387,Villa Boa Esperanca   4 Bedroom Villa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104375977,Scottsdale Luxury Heated Pool  Desert View,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248247,In-home Bar  Lounge  and Arcade  Stay Entertained at The Sea Shed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248242,Beautiful Ocean Views at The Victorian,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104248220,Seas the Day in this Luxury Condo at Diamond Beach  Ocean Views  Incredible Pools   Amenities,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248218,SUNNY DAZE Walk to Beach  2 Decks  Pet Friendly  Has a Mini Bar ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242690,w    Glorious loft in Roma Norte,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104248208,Have a dream vacation at High Tide ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248206,Beachfront  Laid Back  and Luxurious Diamond Beach Condo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248197,Great bay views and a Pool in Isla Del Sol ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242324,w    Welcoming 1BR with Patio in Chapinero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242645,w    Amazing 2BR with amazing view in Cuauhtemoc,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104242660,w    Amazing 2BR in Poblado,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242810,w    Fantastic Loft with Amazing view in Cuauhtemoc,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104242289,w    Comfy Duplex in Poblado,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242610,Lovely Loft with Amazing view in Cuauhtemoc,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104242082,w  Modern 1BR in Zona G,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104242348,w    Unique 1BR duplex in Parque 93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242319,w    Great loft in Virrey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242392,w   Spectacular 2BR w  ocean view n AC in CTG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242263,Splendid 2BR with Stunning View in Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
104242124,w     Modern Loft in Parque Virrey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242069,w    Bright 1BR In Zona G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242065,w    Design 1BR In Zona G,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
104242010,w    Lovely Loft with Terrace in Santa Ana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242176,w    Lively 1BR with Balcony in Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242116,w    Splendid Loft in Santa Ana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242180,Splendid Loft in Parque 93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242431,w   Spectacular 2BR Apartment w  AC in Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104241951,w   Radiant Loft in Parque 93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242374,w   Fantastic 2BR w  AC in Sunny Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242249,w    Stunning 1BR with Pool in Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242174,Marvelous Loft with Private Terrace in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242235,w    Lovely 2BR w  AC in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242292,w    Magnific loft in Chapinero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242095,w   Stunning Duplex in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242092,w    Amazing Duplex in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242089,w    Classy Loft in Parque 93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242088,w    Lush Loft in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242083,w    Cozy Loft in Candelaria,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
104242021,w    Modern Loft in Parque 93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104071237,The Loft - charming rural annexe close to city,N/A,TRUE,TRUE,TRUE,TRUE,FALSE
101943361,5-BR Home     National Harbor     MGM Casino     Outlets,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101943342,Eastern Market   METRO Accessible    Modern Charm    Walk Everywhere ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101936607,Island Paradise 4BR Combo  Sleeps 16 ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
103415627,Pelagus Luxury Villas,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
103212444,Villa Bonaccorso - Il Casotto il  Limone verde ,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
102843717,Sosuite   Bay Window 1BR Apt w W D  Desk,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843533,Stairway   3BR Apt w W D  Home Theater,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843508,Sosuite   2BR Apt w Balcony  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843858,Sosuite   Tandem 2BR Apts w  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102714586,Marske Stables 3  Copenhagen,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
102843522,Sosuite   2BR Penthouse w W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102844860,Sosuite   Studio Apt w W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101943388,3BR Modern Home w Pool   Sunroom   National Harbor,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102029713,Rooftop Hot Tub - 9 Bed Luxury w Free Parking,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101943375,Spacious 1BR NW Garden Apartment   Walker s Dream ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102029703,Entire High-End Lux Duplex Short North - 18 Beds,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101943358,2-BR City Retreat   Peace  Privacy   Parking ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101943354,2-BR Hideaway     Ntnl Harbor     MGM Casino     Outlets,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102843810,Sosuite   2BR Apt w W D  Gym  On-site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103047304,Host Apartments   The Three Graces Apt,N/A,TRUE,TRUE,TRUE,TRUE,FALSE
102714605,t  Inglefall Cottage  Ingleton,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
102843514,Sosuite   2BR Loft w Shared W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102844710,Sosuite   2BR Apt w W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
102843498,Sosuite   2BR Penthouse w W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843512,Sosuite   1BR Apt w W D  Gym  Lounge  Park View,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843849,Sosuite   1BR Penthouse w Patio  W D  Gym,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101943307,Charm City Homestay in Washington Village,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102029705,Lux 3BR  3Bath w Rooftop Hot Tub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
105112467,Spanish Water Apartments - Garden View,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
100619190,Le Cerf  40 CITQ  234861,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
100619193,Lake Resort Suite  Views   Amenities,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242624,Spectacular Loft with Amazing view in Cuauht  moc,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
