uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
112220553|112220553|112220553_000001|Informaciones matrimoniales 1955 - DGS(112220553)|Informaciones matrimoniales 1955 - DGS(112220553)|ES|Español|1955/1955|Santa Rosa, Callao, Callao, Perú|Matrimonio|7-12|Matrimonio
112220599|112220599|112220599_000001|Informaciones matrimoniales 1954 - DGS(112220599)|Informaciones matrimoniales 1954 - DGS(112220599)|ES|Español|1954/1954|Santa Rosa, Callao, Callao, Perú|Matrimonio|6-12|Matrimonio
112220627|112220627|112220627_000001|Confirmaciones 1936 - DGS(112220627)|Confirmaciones 1936 - DGS(112220627)|ES|Español|1936/1936|Santa Rosa, Callao, Callao, Perú|Confirmación|1|Confirmación
112220667|112220667|112220667_000001|Bautismos 1868 - DGS(112220667)|Bautismos 1868 - DGS(112220667)|ES|Español|1868/1868|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|13|Bautizo
112220692|112220692|112220692_000001|Bautismos 1869 - DGS(112220692)|Bautismos 1869 - DGS(112220692)|ES|Español|1869/1869|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|14|Bautizo
112220743|112220743|112220743_000001|Bautismos 1870 - DGS(112220743)|Bautismos 1870 - DGS(112220743)|ES|Español|1870/1870|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|15|Bautizo
112220750|112220750|112220750_000001|Bautismos 1872 - DGS(112220750)|Bautismos 1872 - DGS(112220750)|ES|Español|1872/1872|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|16|Bautizo
112220924|112220924|112220924_000001|Bautismos 1875 - DGS(112220924)|Bautismos 1875 - DGS(112220924)|ES|Español|1875/1875|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|17|Bautizo
112221206|112221206|112221206_000001|Bautismos 1951 - DGS(112221206)|Bautismos 1951 - DGS(112221206)|ES|Español|1951/1951|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|73|Bautizo
112221411|112221411|112221411_000001|Bautismos 1951 - DGS(112221411)|Bautismos 1951 - DGS(112221411)|ES|Español|1951/1951|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|72|Bautizo
