uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
112023649|112023649|112023649_000001|Bautismos de adultos_2010,- - DGS(112023649)|Bautismos de adultos_2010,- - DGS(112023649)|ES|Español|2010|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2010|
112023708|112023708|112023708_000001|Bautismos de adultos_2009,- - DGS(112023708)|Bautismos de adultos_2009,- - DGS(112023708)|ES|Español|2009|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-feb 2009—oct 2009|
112023822|112023822|112023822_000001|Licencias de bautismo_2009,- - DGS(112023822)|Licencias de bautismo_2009,- - DGS(112023822)|ES|Español|2009|Diócesis del Callao, Perú|Licencias de bautismo|-|Licencias de bautismo-2009|
112023870|112023870|112023870_000001|Bautismos de adultos_2008,- - DGS(112023870)|Bautismos de adultos_2008,- - DGS(112023870)|ES|Español|2008|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2008|
112023931|112023931|112023931_000001|Bautismos de adultos_2008,- - DGS(112023931)|Bautismos de adultos_2008,- - DGS(112023931)|ES|Español|2008|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2008|
112024009|112024009|112024009_000001|Bautismos de adultos_2007,- - DGS(112024009)|Bautismos de adultos_2007,- - DGS(112024009)|ES|Español|2007|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-sept 2007—dic 2007|
112024024|112024024|112024024_000001|Bautismos de adultos_2007,- - DGS(112024024)|Bautismos de adultos_2007,- - DGS(112024024)|ES|Español|2007|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-ene 2007—oct 2007|
112024043|112024043|112024043_000001|Bautismos de adultos_2006,- - DGS(112024043)|Bautismos de adultos_2006,- - DGS(112024043)|ES|Español|2006|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2006|
112024089|112024089|112024089_000001|Bautismos de adultos_2005,- - DGS(112024089)|Bautismos de adultos_2005,- - DGS(112024089)|ES|Español|2005|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2005|
112024114|112024114|112024114_000001|Bautismos de adultos_2004,- - DGS(112024114)|Bautismos de adultos_2004,- - DGS(112024114)|ES|Español|2004|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2004|
112024168|112024168|112024168_000001|Bautismos de adultos_2003,- - DGS(112024168)|Bautismos de adultos_2003,- - DGS(112024168)|ES|Español|2003|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2002—2003|
