uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
106550015|106550015|106550015_000001|Bautismos_1_3 nov 1996–5 dic 1998,Vol 1 - DGS(106550015)|Bautismos_1_3 nov 1996–5 dic 1998,Vol 1 - DGS(106550015)|ES|Español|1998|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 1|Bautismos-1996—1998|
106550016|106550016|106550016_000001|Bautismos_2_30 ene 1999–24 dic 2005,Vol 2 - DGS(106550016)|Bautismos_2_30 ene 1999–24 dic 2005,Vol 2 - DGS(106550016)|ES|Español|2005|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 2|Bautismos-1999—2005|
106550017|106550017|106550017_000001|Bautismos_3_31 dic 2005–30 jun 2012,Vol 3 - DGS(106550017)|Bautismos_3_31 dic 2005–30 jun 2012,Vol 3 - DGS(106550017)|ES|Español|2012|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 3|Bautismos-31 dic 2005—30 jun 2012|
106550018|106550018|106550018_000001|Bautismos_4_30 jun 2012–31 may 2019,Vol 4 - DGS(106550018)|Bautismos_4_30 jun 2012–31 may 2019,Vol 4 - DGS(106550018)|ES|Español|2019|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 4|Bautismos-2012—2019|
106550019|106550019|106550019_000001|Bautismos_25_12 may 2002–25 nov 2012,Vol 25 - DGS(106550019)|Bautismos_25_12 may 2002–25 nov 2012,Vol 25 - DGS(106550019)|ES|Español|2012|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 25|Bautismos-2002—2012|
106550020|106550020|106550020_000001|Confirmaciones_2_4 dic 1997–22 dic 2018,Vol 2 - DGS(106550020)|Confirmaciones_2_4 dic 1997–22 dic 2018,Vol 2 - DGS(106550020)|ES|Español|2018|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Confirmaciones|Vol 2|Confirmaciones-2007—2018|
106793828|106793828|106793828_000001|Bautismos_24_2 feb 1993–12 may 2002,Vol 24 - DGS(106793828)|Bautismos_24_2 feb 1993–12 may 2002,Vol 24 - DGS(106793828)|ES|Español|2002|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 24|Bautismos-1993—2002|
106793829|106793829|106793829_000001|Bautismos_23_18 mar 1989–2 feb 1993,Vol 23 - DGS(106793829)|Bautismos_23_18 mar 1989–2 feb 1993,Vol 23 - DGS(106793829)|ES|Español|1993|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 23|Bautismos-1989—1993|
106793830|106793830|106793830_000001|Bautismos_22_27 abr 1985–18 mar 1989,Vol 22 - DGS(106793830)|Bautismos_22_27 abr 1985–18 mar 1989,Vol 22 - DGS(106793830)|ES|Español|1989|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 22|Bautismos-1985—1989|
106793831|106793831|106793831_000001|Bautismos_21_4 feb 1979–27 abr 1985,Vol 21 - DGS(106793831)|Bautismos_21_4 feb 1979–27 abr 1985,Vol 21 - DGS(106793831)|ES|Español|1985|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 21|Bautismos-1979—1985|
106793832|106793832|106793832_000001|Bautismos_20_10 jul 1977–4 feb 1979,Vol 20 - DGS(106793832)|Bautismos_20_10 jul 1977–4 feb 1979,Vol 20 - DGS(106793832)|ES|Español|1979|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 20|Bautismos-1977—1979|
106793833|106793833|106793833_000001|Bautismos_19_1 ene 1976–8 jul 1977,Vol 19 - DGS(106793833)|Bautismos_19_1 ene 1976–8 jul 1977,Vol 19 - DGS(106793833)|ES|Español|1977|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 19|Bautismos-1976—1977|
106793834|106793834|106793834_000001|Bautismos_18_1 sep 1974–1 ene 1976,Vol 18 - DGS(106793834)|Bautismos_18_1 sep 1974–1 ene 1976,Vol 18 - DGS(106793834)|ES|Español|1976|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 18|Bautismos-1974—1976|
106793835|106793835|106793835_000001|Bautismos_17_16 jun 1968–1 sep 1974,Vol 17 - DGS(106793835)|Bautismos_17_16 jun 1968–1 sep 1974,Vol 17 - DGS(106793835)|ES|Español|1974|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 17|Bautismos-1968—1974|
106793836|106793836|106793836_000001|Bautismos_16_14 sep 1962–6 jun 1968,Vol 16 - DGS(106793836)|Bautismos_16_14 sep 1962–6 jun 1968,Vol 16 - DGS(106793836)|ES|Español|1968|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 16|Bautismos-1962—1968|
106793837|106793837|106793837_000001|Bautismos_15_30 ene 1957–28 ago 1962,Vol 15 - DGS(106793837)|Bautismos_15_30 ene 1957–28 ago 1962,Vol 15 - DGS(106793837)|ES|Español|1962|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 15|Bautismos-1957—1962|
106793838|106793838|106793838_000001|Bautismos_14_23 ene 1949–4 feb 1957,Vol 14 - DGS(106793838)|Bautismos_14_23 ene 1949–4 feb 1957,Vol 14 - DGS(106793838)|ES|Español|1957|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 14|Bautismos-1949—1957|
106793839|106793839|106793839_000001|Bautismos_13_20 abr 1945–13 abr 1952,Vol 13 - DGS(106793839)|Bautismos_13_20 abr 1945–13 abr 1952,Vol 13 - DGS(106793839)|ES|Español|1952|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 13|Bautismos-1945—1952|
106793840|106793840|106793840_000001|Bautismos_12_3 feb 1935–25 mar 1945,Vol 12 - DGS(106793840)|Bautismos_12_3 feb 1935–25 mar 1945,Vol 12 - DGS(106793840)|ES|Español|1945|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 12|Bautismos-1935—1945|
106793841|106793841|106793841_000001|Bautismos_11_29 mar 1921–3 feb 1935,Vol 11 - DGS(106793841)|Bautismos_11_29 mar 1921–3 feb 1935,Vol 11 - DGS(106793841)|ES|Español|1935|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 11|Bautismos-1921—1935|
106793842|106793842|106793842_000001|Bautismos_10_26 abr 1914–11 oct 1920,Vol 10 - DGS(106793842)|Bautismos_10_26 abr 1914–11 oct 1920,Vol 10 - DGS(106793842)|ES|Español|1920|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 10|Bautismos-1914—1920|
106793843|106793843|106793843_000001|Bautismos_26_25 nov 2012–26 may 2019,Vol 26 - DGS(106793843)|Bautismos_26_25 nov 2012–26 may 2019,Vol 26 - DGS(106793843)|ES|Español|2019|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 26|Bautismos-2012—2019|
106793844|106793844|106793844_000001|Confirmaciones_1_17 oct 1958–1 feb 1993,Vol 1 - DGS(106793844)|Confirmaciones_1_17 oct 1958–1 feb 1993,Vol 1 - DGS(106793844)|ES|Español|1993|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Confirmaciones|Vol 1|Confirmaciones-1958—1993|
106793845|106793845|106793845_000001|Confirmaciones_2_8 dic 1992–15 ago 2017,Vol 2 - DGS(106793845)|Confirmaciones_2_8 dic 1992–15 ago 2017,Vol 2 - DGS(106793845)|ES|Español|2020|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Confirmaciones|Vol 2|Confirmaciones-1992—2020|
106793846|106793846|106793846_000001|Confirmaciones_3_1 dic 2017–20 abr 2019,Vol 3 - DGS(106793846)|Confirmaciones_3_1 dic 2017–20 abr 2019,Vol 3 - DGS(106793846)|ES|Español|2017|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Confirmaciones|Vol 3|Confirmaciones-2017|
106793847|106793847|106793847_000001|Matrimonios_2_3 nov 1936–3 nov 1965,Vol 2 - DGS(106793847)|Matrimonios_2_3 nov 1936–3 nov 1965,Vol 2 - DGS(106793847)|ES|Español|1965|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|Vol 2|Matrimonios parroquiales-1936—1965|
106793848|106793848|106793848_000001|Matrimonios_3_8 dic 1965–3 mar 1979,Vol 3 - DGS(106793848)|Matrimonios_3_8 dic 1965–3 mar 1979,Vol 3 - DGS(106793848)|ES|Español|1979|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|Vol 3|Matrimonios parroquiales-1965—1979|
106793849|106793849|106793849_000001|Matrimonios_4_30 jul 1979–29 dic 2018,Vol 4 - DGS(106793849)|Matrimonios_4_30 jul 1979–29 dic 2018,Vol 4 - DGS(106793849)|ES|Español|1979|Torata, Torata, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|Vol 4|Matrimonios parroquiales-1979|
106794015|106794015|106794015_000001|Bautismos_4_17 sep 1928–16 sep 1945,Vol 4 - DGS(106794015)|Bautismos_4_17 sep 1928–16 sep 1945,Vol 4 - DGS(106794015)|ES|Español|1945|Señor de Locumba, Locumba, Locumba, Jorge Basadre, Tacna, Perú|Bautismos|Vol 4|Bautismos-1928—1945|
106794016|106794016|106794016_000001|Bautismos_3_12 sep 1912–17 sep 1928,Vol 3 - DGS(106794016)|Bautismos_3_12 sep 1912–17 sep 1928,Vol 3 - DGS(106794016)|ES|Español|1928|Señor de Locumba, Locumba, Locumba, Jorge Basadre, Tacna, Perú|Bautismos|Vol 3|Bautismos-1912—1928|
106794017|106794017|106794017_000001|Bautismos_12_8 nov 1970–2 dic 2001,Vol 12 - DGS(106794017)|Bautismos_12_8 nov 1970–2 dic 2001,Vol 12 - DGS(106794017)|ES|Español|2001|Señor de Locumba, Locumba, Locumba, Jorge Basadre, Tacna, Perú|Bautismos|Vol 12|Bautismos-1970—2001|
106794018|106794018|106794018_000001|Bautismos_13_11 sep 2003–27 abr 2019,Vol 13 - DGS(106794018)|Bautismos_13_11 sep 2003–27 abr 2019,Vol 13 - DGS(106794018)|ES|Español|2019|Señor de Locumba, Locumba, Locumba, Jorge Basadre, Tacna, Perú|Bautismos|Vol 13|Bautismos-2003—2019|
106794019|106794019|106794019_000001|Bautismos_7_1 ene 1949–3 may 1959,Vol 7 - DGS(106794019)|Bautismos_7_1 ene 1949–3 may 1959,Vol 7 - DGS(106794019)|ES|Español|1959|Señor de Locumba, Locumba, Locumba, Jorge Basadre, Tacna, Perú|Bautismos|Vol 7|Bautismos-1949—1959|
106794020|106794020|106794020_000001|Bautismos_6_1 ene 1949–8 abr 1955,Vol 6 - DGS(106794020)|Bautismos_6_1 ene 1949–8 abr 1955,Vol 6 - DGS(106794020)|ES|Español|1955|Señor de Locumba, Locumba, Locumba, Jorge Basadre, Tacna, Perú; Locumba, Jorge Basadre, Tacna, Perú|Bautismos|Vol 6|Bautismos-1 ene 1949—8 abr 1955|
