EID,Property Name,Brand ID,Brand Name,Active / Inactive,Deleted
106255099,Mamo Florence - Charlie's Apartments,11896,VR_PM Etesian,TRUE,FALSE
107712585,Mamo Florence - Turandot Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558744,Mamo Florence - Palazzo Spinelli Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558731,Mamo Florence - Isidora Apartment,11896,VR_PM Etesian,TRUE,FALSE
106035063,Mamo Florence - Alice & Ellen Apartments,11896,VR_PM Etesian,TRUE,FALSE
108558729,Mamo Florence - Gm Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220455,Mamo Florence - Jake & Francis Apartments,11896,VR_PM Etesian,TRUE,FALSE
108558735,Mamo Florence - Lungarno Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558728,Mamo Florence - Gilbe One Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220453,Mamo Florence - Fiesolana & Fiona Apartments,11896,VR_PM Etesian,TRUE,FALSE
53905234,Mamo Florence - Dei Neri Apartment,11896,VR_PM Etesian,FALSE,FALSE
108558746,Mamo Florence - Pepe Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220462,Mamo Florence - Il Prato Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712578,Mamo Florence - Pinti Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558700,Mamo Florence - Academy House,11896,VR_PM Etesian,TRUE,FALSE
108558720,Mamo Florence - Corinne Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220445,Mamo Florence - Ardiglione Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905262,Mamo Florence - Zeno Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558742,Mamo Florence - Mosse Leopolda Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558730,Mamo Florence - Guido Monaco Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558743,Mamo Florence - Ognissanti Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558703,Mamo Florence - Bice & Krizia Apartments,11896,VR_PM Etesian,TRUE,FALSE
110866184,Mamo Florence - Sacha Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558768,Mamo Florence - Sunrise Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905260,Mamo Florence – San Zanobi Apartments,11896,VR_PM Etesian,TRUE,FALSE
108558702,Mamo Florence - Aida Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558739,Mamo Florence - Malavolta Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558750,Mamo Florence - Pop Tower Apartments,11896,VR_PM Etesian,FALSE,FALSE
57954365,Mamo Florence - Beatrice Apartment,11896,VR_PM Etesian,TRUE,FALSE
110233915,Mamo Florence - Francesco Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558699,Mamo Florence - Abigail Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905235,Mamo Florence - Palazzuolo Tower,11896,VR_PM Etesian,TRUE,FALSE
53905225,Mamo Florence - Buonarroti Apartment,11896,VR_PM Etesian,FALSE,FALSE
107712577,Mamo Florence - Penelope & Ulisse Apartments,11896,VR_PM Etesian,FALSE,FALSE
