"Provider","Property Manager","Provider Property ID","Expedia ID","Name","Country Code","Public Code","Code","Reason Codes","Messages","In-process Time","Timestamp (UTC)","Onboarding Start (UTC)","Onboarding End (UTC)","Time to Onboard"
"RentalsUnited","Livily","4241681","126961490","The Royce Newport Luxury Historic Retreat","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:48.005Z","2026-03-02T04:21:01.443Z","2026-03-02T04:21:48.005Z","00:00:46.5629408"
"RentalsUnited","Livily","4241629","126961492","Marbella Lane - Elegant 5BR Home Rancho Mission","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:45.004Z","2026-03-02T04:21:01.548Z","2026-03-02T04:21:45.004Z","00:00:43.4567899"
"RentalsUnited","Livily","4241621","126961487","@ Marbella Lane - Seaside Retreat | Laundry + P","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:42.005Z","2026-03-02T04:21:01.634Z","2026-03-02T04:21:42.005Z","00:00:40.3713402"
"RentalsUnited","Livily","4241757","126961483","Rocky Mountain 4","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:40.005Z","2026-03-02T04:21:01.644Z","2026-03-02T04:21:40.005Z","00:00:38.3615631"
"RentalsUnited","Livily","4241721","126961488","The Royce on Spring - High-End Family Getaway in Newport","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:42.005Z","2026-03-02T04:21:01.702Z","2026-03-02T04:21:42.005Z","00:00:40.3030927"
"RentalsUnited","Livily","4241765","126961493","Wallowa 22","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:44.004Z","2026-03-02T04:21:04.173Z","2026-03-02T04:21:44.004Z","00:00:39.8319271"
"RentalsUnited","Livily","4241764","126961495","Tamarack 8","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:46.006Z","2026-03-02T04:21:04.303Z","2026-03-02T04:21:46.006Z","00:00:41.7033270"
"RentalsUnited","Livily","4241953","126961496","15 Blue Grouse","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T07:23:23.004Z","2026-03-02T04:21:06.53Z","2026-03-02T04:21:45.005Z","00:00:38.4756729"
"RentalsUnited","Livily","4241940","126961498","Mt View Lodge 35","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:52.008Z","2026-03-02T04:21:07.149Z","2026-03-02T04:21:52.008Z","00:00:44.8590368"
"RentalsUnited","Livily","4241914","126961500","Trapper 11","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:46.006Z","2026-03-02T04:21:07.325Z","2026-03-02T04:21:46.006Z","00:00:38.6811309"
