uad      | dgs      | folder          | archive_reference                                                           | record_title                                                                | language_title| language| dates    | locality                                                                                                                   | record_type | volume   | event_type
106890443| 106890443| 106890443_000001| Bautismos 23 10 dic 1934–9 jun 1938 - DGS(106890443)                        | Bautismos 23 10 dic 1934–9 jun 1938 - DGS(106890443)                        | ES            | Español | 1938/1938| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 23       | Bautizo
106890444| 106890444| 106890444_000001| Bautismos 26 4 nov 1952–29 jul 1956 - DGS(106890444)                        | Bautismos 26 4 nov 1952–29 jul 1956 - DGS(106890444)                        | ES            | Español | 1956/1956| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 26       | Bautizo
106890445| 106890445| 106890445_000001| Bautismos 27 29 jul 1956–30 dic 1960 - DGS(106890445)                       | Bautismos 27 29 jul 1956–30 dic 1960 - DGS(106890445)                       | ES            | Español | 1960/1960| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 27       | Bautizo
106890446| 106890446| 106890446_000001| Bautismos 28 1 ene 1961–16 oct 1965 - DGS(106890446)                        | Bautismos 28 1 ene 1961–16 oct 1965 - DGS(106890446)                        | ES            | Español | 1965/1965| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 28       | Bautizo
106890447| 106890447| 106890447_000001| Bautismos 30 1 ene 1977–8 jul 1990 - DGS(106890447)                         | Bautismos 30 1 ene 1977–8 jul 1990 - DGS(106890447)                         | ES            | Español | 1990/1990| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 30       | Bautizo
106890448| 106890448| 106890448_000001| Bautismos 31 13 may 1990–8 oct 2002 - DGS(106890448)                        | Bautismos 31 13 may 1990–8 oct 2002 - DGS(106890448)                        | ES            | Español | 2002/2002| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 31       | Bautizo
106890449| 106890449| 106890449_000001| Bautismos 21 11 abr 1925–8 dic 1929 - DGS(106890449)                        | Bautismos 21 11 abr 1925–8 dic 1929 - DGS(106890449)                        | ES            | Español | 1929/1929| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 21       | Bautizo
106890450| 106890450| 106890450_000001| Bautismos 24 17 mar 1941–14 oct 1952 - DGS(106890450)                       | Bautismos 24 17 mar 1941–14 oct 1952 - DGS(106890450)                       | ES            | Español | 1952/1952| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 24       | Bautizo
106890451| 106890451| 106890451_000001| Bautismos 32 8 dic 1999–1 ene 2019 - DGS(106890451)                         | Bautismos 32 8 dic 1999–1 ene 2019 - DGS(106890451)                         | ES            | Español | 2019/2019| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 32       | Bautizo
106890452| 106890452| 106890452_000001| Matrimonios 8 1 ene 1903–20 abr 1928 - DGS(106890452)                       | Matrimonios 8 1 ene 1903–20 abr 1928 - DGS(106890452)                       | ES            | Español | 1928/1928| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Matrimonio  | 8        | Matrimonio
106890453| 106890453| 106890453_000001| Matrimonios 9 20 jul 1928–21 jun 1949 - DGS(106890453)                      | Matrimonios 9 20 jul 1928–21 jun 1949 - DGS(106890453)                      | ES            | Español | 1949/1949| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Matrimonio  | 9        | Matrimonio
106890454| 106890454| 106890454_000001| Matrimonios 11 17 jun 1954–19 dic 1973 - DGS(106890454)                     | Matrimonios 11 17 jun 1954–19 dic 1973 - DGS(106890454)                     | ES            | Español | 1973/1973| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Matrimonio  | 11       | Matrimonio
106890455| 106890455| 106890455_000001| Matrimonios 12 29 sep 1974–24 jun 1998 - DGS(106890455)                     | Matrimonios 12 29 sep 1974–24 jun 1998 - DGS(106890455)                     | ES            | Español | 1974/1974| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Matrimonio  | 12       | Matrimonio
106890456| 106890456| 106890456_000001| Matrimonios 13 29 sep 1999–19 may 2018 - DGS(106890456)                     | Matrimonios 13 29 sep 1999–19 may 2018 - DGS(106890456)                     | ES            | Español | 2018/2018| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Matrimonio  | 13       | Matrimonio
107157688| 107157688| 107157688_000001| Bautismos 09 31 mar 1917–3 sep 1922 - DGS(107157688)                        | Bautismos 09 31 mar 1917–3 sep 1922 - DGS(107157688)                        | ES            | Español | 1922/1922| La Capilla, Tacna, Tacna, Perú                                                                                             | Bautizo     | 9        | Bautizo
107157689| 107157689| 107157689_000001| Bautismos 20 1 nov 1919–9 nov 1921 - DGS(107157689)                         | Bautismos 20 1 nov 1919–9 nov 1921 - DGS(107157689)                         | ES            | Español | 1921/1921| Santísimo Salvador, Puquina, Puquina, General Sánchez Cerro, Moquegua, Perú                                                | Bautizo     | 20       | Bautizo
107157690| 107157690| 107157690_000001| Bautismos 14 23 ago 1896–23 mar 1903 - DGS(107157690)                       | Bautismos 14 23 ago 1896–23 mar 1903 - DGS(107157690)                       | ES            | Español | 1903/1903| Santísimo Salvador, Puquina, Puquina, General Sánchez Cerro, Moquegua, Perú                                                | Bautizo     | 14       | Bautizo
107157691| 107157691| 107157691_000001| Bautismos 16 31 ene 1909–13 ago 1911 - DGS(107157691)                       | Bautismos 16 31 ene 1909–13 ago 1911 - DGS(107157691)                       | ES            | Español | 1911/1911| Moquegua, Mariscal Nieto, Moquegua, Perú                                                                                   | Bautizo     | 16       | Bautizo
107157692| 107157692| 107157692_000001| Bautismos 15 3 mar 1903–20 may 1910 - DGS(107157692)                        | Bautismos 15 3 mar 1903–20 may 1910 - DGS(107157692)                        | ES            | Español | 1910/1910| Santísimo Salvador, Puquina, Puquina, General Sánchez Cerro, Moquegua, Perú                                                | Bautizo     | 15       | Bautizo
107157693| 107157693| 107157693_000001| Bautismos 21 aprox. 20 feb 1959–9 mar 1959 - DGS(107157693)                 | Bautismos 21 aprox. 20 feb 1959–9 mar 1959 - DGS(107157693)                 | ES            | Español | 1959/1959| Puquina, General Sánchez Cerro, Moquegua, Perú; Puquina, Puquina, General Sánchez Cerro, Moquegua, Perú                    | Bautizo     | 21       | Bautizo
107157694| 107157694| 107157694_000001| Bautismos 06 17 sep 1922–19 dic 1932 - DGS(107157694)                       | Bautismos 06 17 sep 1922–19 dic 1932 - DGS(107157694)                       | ES            | Español | 1932/1932| Puquina, General Sánchez Cerro, Moquegua, Perú; Moquegua, Mariscal Nieto, Moquegua, Perú                                   | Bautizo     | 6        | Bautizo
107157695| 107157695| 107157695_000001| Bautismos 24 29 abr 1946–26 dic 1949 - DGS(107157695)                       | Bautismos 24 29 abr 1946–26 dic 1949 - DGS(107157695)                       | ES            | Español | 1949/1949| San Lino, Omate, General Sánchez Cerro, Moquegua, Perú; Omate, General Sánchez Cerro, Moquegua, Perú                       | Bautizo     | 24       | Bautizo
107157696| 107157696| 107157696_000001| Bautismos 25 24 sep 1949–20 abr 1954 - DGS(107157696)                       | Bautismos 25 24 sep 1949–20 abr 1954 - DGS(107157696)                       | ES            | Español | 1954/1954| Omate, General Sánchez Cerro, Moquegua, Perú; San Lino, Omate, General Sánchez Cerro, Moquegua, Perú                       | Bautizo     | 25       | Bautizo
107157697| 107157697| 107157697_000001| Bautismos 26 1 may 1954–2 ago 1957 - DGS(107157697)                         | Bautismos 26 1 may 1954–2 ago 1957 - DGS(107157697)                         | ES            | Español | 1957/1957| Omate, General Sánchez Cerro, Moquegua, Perú; San Lino, Omate, General Sánchez Cerro, Moquegua, Perú                       | Bautizo     | 26       | Bautizo
107157698| 107157698| 107157698_000001| Bautismos 27 5 ene 1958–26 may 1959 - DGS(107157698)                        | Bautismos 27 5 ene 1958–26 may 1959 - DGS(107157698)                        | ES            | Español | 1959/1959| Omate, General Sánchez Cerro, Moquegua, Perú; San Lino, Omate, General Sánchez Cerro, Moquegua, Perú                       | Bautizo     | 27       | Bautizo
107157699| 107157699| 107157699_000001| Bautismos 28 11 ago 1957–4 jul 1962 - DGS(107157699)                        | Bautismos 28 11 ago 1957–4 jul 1962 - DGS(107157699)                        | ES            | Español | 1962/1962| Omate, General Sánchez Cerro, Moquegua, Perú; San Lino, Omate, General Sánchez Cerro, Moquegua, Perú                       | Bautizo     | 28       | Bautizo
